match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,targeted,received,tiro_desde_centro,gol_desde_centro,desmarque_ruptura_con_opcion_pase
2047793,1,35671,D. Vergara,LF,Racing Club,-32.87,19.8,-20.57,32.81,2,6,drawing,False,False,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,-12.44,17.62,-11.79,18.13,7,7,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,-7.32,9.21,-4.44,9.3,8,8,drawing,False,False,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-22.1,20.54,-20.39,21.14,7,7,drawing,False,False,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-31.4,17.08,-30.91,17.87,2,2,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-27.13,4.24,-29.02,2.27,3,3,drawing,True,True,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-19.4,-14.06,-20.22,-15.62,9,9,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-29.49,14.62,-30.88,11.06,2,3,drawing,False,False,0,0,0
2047793,1,36728,S. Sosa,DM,Racing Club,-24.1,7.57,-25.83,5.33,8,3,drawing,False,False,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-13.37,19.35,-13.09,19.24,7,7,drawing,True,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,4.14,-21.3,3.07,-20.06,15,15,drawing,False,False,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,16.74,-17.36,15.31,-15.78,14,14,drawing,False,False,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-6.02,-14.48,-6.26,-13.22,9,9,drawing,False,False,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,6.89,-1.86,6.85,-1.4,13,13,drawing,True,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-18.66,-0.44,-23.92,-7.89,8,9,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,9.5,-5.32,8.74,-7.14,14,14,drawing,True,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,19.5,-24.34,19.32,-25.23,15,15,drawing,False,False,0,0,0
2047793,1,131530,S. Núñez,RCB,Estudiantes,-12.16,10.58,-12.01,10.03,8,8,drawing,True,True,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,14.33,-31.08,7.58,-32.48,15,15,drawing,True,True,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,13.63,-11.22,13.63,-11.22,14,14,drawing,False,False,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,20.4,-14.83,21.86,-20.99,14,15,drawing,False,False,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,2.6,-8.12,2.08,-20.32,14,15,drawing,False,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,5.88,-1.18,5.9,-1.27,13,13,drawing,True,True,0,0,0
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-8.8,1.33,-8.8,1.33,8,8,drawing,False,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,9.06,-15.77,9.06,-15.77,14,14,drawing,True,True,0,0,0
2047793,1,131530,S. Núñez,RCB,Estudiantes,-10.33,-9.91,-10.33,-9.91,9,9,drawing,False,False,0,0,0
