match_id,period,player_name,player_targeted_name,player_position,player_targeted_position,team_shortname,x_start,y_start,start_zone,x_end,y_end,end_zone,game_state,pase_completado,pase_peligroso,pase_primera,pase_cabeza,pase_alto,pase_corto,pase_medio,pase_largo,pase_adelante,pase_atras,pase_lados,pase_dificil,pase_rompe_primera_linea,pase_rompe_segunda_linea,pase_rompe_ultima_linea,pase_area,packing,player_targeted_xthreat,player_targeted_xpass_completion
2047793,1,E. Almendra,D. Vergara,LM,LF,Racing Club,11.62,1.9,13,11.62,1.9,13,drawing,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,-0.0,0.0138,0.9123
2047793,1,D. Vergara,J. Nardoni,LF,RM,Racing Club,32.22,26.28,17,46.23,22.76,17,drawing,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-4.0,0.0329,0.466
2047793,1,A. García Basso,N. Colombo,LCB,RCB,Racing Club,5.97,31.01,11,4.19,29.68,11,drawing,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0007,0.9961
2047793,1,N. Colombo,E. Almendra,RCB,LM,Racing Club,-8.32,4.9,8,-4.29,4.29,8,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0016,0.9869
2047793,1,E. Almendra,A. García Basso,LM,LCB,Racing Club,9.44,23.8,12,9.44,23.8,12,drawing,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,0.0008,0.9988
2047793,1,A. García Basso,N. Colombo,LCB,RCB,Racing Club,-5.99,18.3,7,-6.71,16.59,7,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0003,0.9993
2047793,1,N. Colombo,A. García Basso,RCB,LCB,Racing Club,-9.3,-0.8,8,-8.78,-0.59,8,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0002,0.9988
2047793,1,A. García Basso,E. Almendra,LCB,LM,Racing Club,-10.34,17.75,7,-10.1,19.49,7,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0005,0.9965
2047793,1,E. Almendra,A. Martínez,LM,CF,Racing Club,-3.86,31.69,6,-3.86,31.69,6,drawing,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,-0.0,0.0099,0.4258
2047793,1,S. Núñez,R. Gómez,RCB,RB,Estudiantes,-30.91,-11.67,4,-30.91,-11.67,4,drawing,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0001,0.8646
2047793,1,S. Ascacíbar,T. Palacios,RM,RW,Estudiantes,-10.08,-25.74,10,-10.08,-25.74,10,drawing,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0015,0.8663
2047793,1,T. Palacios,E. Piovi,RW,DM,Estudiantes,-16.26,-20.41,10,-16.26,-20.41,10,drawing,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.0008,0.9048
2047793,1,E. Piovi,S. Arzamendia,DM,LB,Estudiantes,-15.64,-9.75,9,-12.85,-0.62,8,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0004,0.9936
2047793,1,S. Arzamendia,L. González Pírez,LB,LCB,Estudiantes,-21.06,15.79,7,-20.03,19.18,7,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0001,0.9981
2047793,1,L. González Pírez,F. Muslera,LCB,GK,Estudiantes,-35.13,13.27,2,-38.55,12.56,3,drawing,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.9984
2047793,1,F. Muslera,T. Palacios,GK,RW,Estudiantes,-47.11,-7.16,4,-46.1,-7.76,4,drawing,1,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,-0.0,0.0005,0.7178
2047793,1,T. Palacios,R. Gómez,RW,RB,Estudiantes,1.08,-30.92,15,1.08,-30.92,15,drawing,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,-0.0,0.0025,0.7753
2047793,1,R. Gómez,G. Carrillo,RB,CF,Estudiantes,-5.63,-26.2,10,25.27,-9.42,14,drawing,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-1.0,0.0563,0.7443
2047793,1,T. Palacios,S. Núñez,RW,RCB,Estudiantes,34.65,29.84,16,31.04,28.13,17,drawing,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-0.0,0.0384,0.4396
2047793,1,F. Cambeses,N. Colombo,GK,RCB,Racing Club,-47.78,-0.19,3,-46.33,-5.79,4,drawing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.9937
2047793,1,N. Colombo,A. Martínez,RCB,CF,Racing Club,-43.03,-25.52,5,-42.35,-26.45,5,drawing,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,-0.0,0.0017,0.6806
2047793,1,J. Nardoni,G. Rojas,RM,LB,Racing Club,-2.77,-16.48,9,3.91,-2.11,13,drawing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0014,0.9903
2047793,1,G. Rojas,E. Almendra,LB,LM,Racing Club,2.1,27.63,12,2.69,27.38,12,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0014,0.9987
2047793,1,E. Almendra,S. Solari,LM,RF,Racing Club,2.39,20.86,12,4.74,20.51,12,drawing,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,-0.0,0.0233,0.448
2047793,1,E. Piovi,R. Gómez,DM,RB,Estudiantes,-38.25,-9.44,4,-38.25,-9.44,4,drawing,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0001,0.7668
2047793,1,D. Vergara,G. Rojas,LF,LB,Racing Club,34.31,19.84,17,30.06,26.17,17,drawing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0082,0.9513
2047793,1,G. Rojas,D. Vergara,LB,LF,Racing Club,27.28,31.47,11,27.75,32.0,16,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.0,0.0027,0.9906
2047793,1,D. Vergara,S. Sosa,LF,DM,Racing Club,20.99,31.7,11,21.29,31.87,11,drawing,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.002,0.9974
2047793,1,S. Sosa,A. García Basso,DM,LCB,Racing Club,11.68,25.53,12,11.66,25.61,12,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0009,0.9975
2047793,1,A. García Basso,N. Colombo,LCB,RCB,Racing Club,-1.91,13.82,7,-1.91,13.82,7,drawing,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0009,0.9988
2047793,1,N. Colombo,D. Vergara,RCB,LF,Racing Club,-0.94,-6.18,9,5.25,-9.71,14,drawing,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,-0.0,0.0212,0.5189
2047793,1,S. Solari,D. Vergara,RF,LF,Racing Club,29.06,8.86,18,29.69,12.21,18,drawing,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0238,0.9724
2047793,1,D. Vergara,G. Rojas,LF,LB,Racing Club,34.68,23.35,17,36.97,24.28,17,drawing,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.0133,0.9084
2047793,1,G. Rojas,D. Vergara,LB,LF,Racing Club,48.23,25.24,17,48.23,25.24,17,drawing,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,-0.0,0.021,0.0602
2047793,1,E. Cetré,T. Palacios,LW,RW,Estudiantes,-44.9,-3.49,4,-44.9,-3.49,4,drawing,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,,
2047793,1,T. Palacios,C. Medina,RW,LM,Estudiantes,-13.06,-19.27,9,-10.81,-26.31,10,drawing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0065,0.8949
2047793,1,C. Medina,G. Carrillo,LM,CF,Estudiantes,-2.57,-12.93,9,22.75,-8.6,14,drawing,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.0782,0.9611
2047793,1,G. Carrillo,S. Ascacíbar,CF,RM,Estudiantes,24.47,3.08,13,27.33,4.63,13,drawing,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,-0.0,0.0523,0.9463
2047793,1,S. Ascacíbar,C. Medina,RM,LM,Estudiantes,43.44,18.45,17,47.44,26.67,17,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.0,0.0101,0.9363
2047793,1,C. Medina,S. Arzamendia,LM,LB,Estudiantes,37.26,22.34,17,29.71,23.4,17,drawing,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2.0,0.0059,0.9971
2047793,1,S. Arzamendia,G. Carrillo,LB,CF,Estudiantes,19.05,27.68,12,21.1,27.51,12,drawing,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-1.0,0.0201,0.5279
2047793,1,S. Sosa,D. Vergara,DM,LF,Racing Club,-38.75,0.67,3,-38.75,0.67,3,drawing,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,,
2047793,1,S. Núñez,S. Ascacíbar,RCB,RM,Estudiantes,-31.02,-18.69,4,-31.02,-18.69,4,drawing,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,,
2047793,1,S. Ascacíbar,T. Palacios,RM,RW,Estudiantes,-21.24,-20.48,10,-21.24,-20.48,10,drawing,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,0.0005,0.8144
2047793,1,G. Rojas,E. Almendra,LB,LM,Racing Club,8.82,28.43,12,8.82,28.43,12,drawing,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,-0.0,0.0068,0.5428
2047793,1,S. Ascacíbar,G. Carrillo,RM,CF,Estudiantes,-21.18,-21.34,10,-22.52,-18.42,9,drawing,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,0.0028,0.5368
2047793,1,A. García Basso,S. Sosa,LCB,DM,Racing Club,-9.01,23.95,7,-8.58,25.42,7,drawing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,0.0002,0.9994
2047793,1,S. Sosa,A. García Basso,DM,LCB,Racing Club,-15.78,12.59,8,-15.77,12.45,8,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0002,0.9971
2047793,1,A. García Basso,S. Sosa,LCB,DM,Racing Club,-7.24,28.57,7,-5.92,28.0,7,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0002,0.9995
2047793,1,S. Sosa,G. Rojas,DM,LB,Racing Club,-10.57,13.52,7,-3.02,7.78,8,drawing,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,-0.0,0.0062,0.7046
